Evolución nº total de altas hospitalización;;;;;;;;;;;;;;;;;;;;;
Se incluye todos los pacientes que a fecha de hoy han sido o son positivos.;;;;;;;;;;;;;;;;;;;;;
;Altas Planta;01 Araba;02 Cruces;03 Donosti;04 Basurto;05 Galdakao;06 Zumarraga;07 Bidasoa;08 Mendaro;09 Alto Deba;10 San Eloy;11 Urduliz;12 Eibar;13 Leza;14 Sta Marina;15 Gorliz;BERMEO H.;ZALDIBAR H.;ZAMUDIO H.;ÁLAVA PSIQUIÁTRICO H.;
2020/08/26;64;14;13;9;10;6;2;0;1;3;1;0;0;0;4;1;0;;0;0;
2020/08/27;62;5;9;8;17;7;0;0;0;3;2;0;0;0;9;1;0;;1;0;
2020/08/28;47;14;2;8;2;7;3;2;1;1;1;2;1;0;3;0;0;;0;0;
2020/08/29;31;7;4;4;5;4;2;0;0;2;0;;0;1;2;0;0;;0;0;
2020/08/30;10;3;1;4;0;0;0;0;1;0;0;;0;0;1;0;0;;0;0;
2020/08/31;77;7;17;15;19;3;1;2;3;0;2;;0;0;6;1;0;;1;0;
2020/09/01;78;15;8;17;13;10;1;1;3;1;1;0;0;0;8;0;0;;0;0;
2020/09/02;78;16;16;6;16;5;3;1;1;2;1;3;0;1;7;0;0;;0;0;
2020/09/03;76;11;9;14;22;8;0;1;0;1;1;0;0;0;7;0;0;;2;0;
2020/09/04;104;24;18;15;19;2;1;1;4;3;2;0;0;0;13;2;0;;0;0;
2020/09/05;29;8;5;6;2;3;0;0;0;1;0;0;0;0;4;0;0;;0;0;
2020/09/06;17;4;0;2;4;0;0;0;0;0;1;0;0;0;5;0;0;;0;1;
2020/09/07;102;15;19;23;18;6;5;5;1;1;2;0;0;0;5;1;0;;1;0;
2020/09/08;77;19;14;16;11;6;1;0;1;0;2;1;0;0;6;0;0;;0;0;
2020/09/09;80;14;15;20;14;5;0;0;2;0;3;1;0;1;4;0;0;;1;0;
2020/09/10;76;20;23;8;10;5;3;1;1;0;0;0;0;0;5;0;0;;0;0;
2020/09/11;93;14;17;16;17;4;4;0;1;2;2;2;0;0;10;2;0;;2;0;
2020/09/12;33;6;5;6;5;2;2;0;2;2;0;0;0;0;3;0;0;;0;0;
2020/09/13;21;2;0;4;4;3;1;1;2;1;1;0;0;0;1;0;0;;1;0;
2020/09/14;91;6;21;26;16;2;2;3;2;3;2;0;1;0;7;0;0;;0;0;
2020/09/15;80;8;15;22;15;11;1;1;0;1;5;0;0;0;1;0;0;;0;0;
2020/09/16;87;12;15;22;7;10;1;4;1;1;0;1;0;0;10;2;0;;1;0;
2020/09/17;93;14;21;12;9;4;7;0;3;3;2;2;0;0;16;0;0;;0;0;
2020/09/18;94;15;17;20;10;6;2;5;7;0;1;1;3;0;6;0;0;;1;0;
