Evolución nº de nuevos ingresos en UCI;;;;;;;;;;;;;;;;;;;;;;
Se incluye todos los pacientes que a fecha de hoy han sido o son positivos.;;;;;;;;;;;;;;;;;;;;;;
;Nuevos Ingresos UCI;01 Araba;02 Cruces;03 Donosti;04 Basurto;05 Galdakao;06 Zumarraga;07 Bidasoa;08 Mendaro;09 Alto Deba;10 San Eloy;11 Urduliz;12 Eibar;13 Leza;14 Sta Marina;15 Gorliz;BERMEO H.;ZALDIBAR H.;ZAMUDIO H.;ÁLAVA PSIQUIÁTRICO H.;;
2020/10/25;10;3;1;2;2;1;;;;;;1;;;;;;;;;;
2020/10/26;4;1;2;0;1;0;;;;;;0;;;;;;;;;;
2020/10/27;12;2;2;6;2;0;;;;;;0;;;;;;;;;;
2020/10/28;6;0;2;0;2;0;;;;;;2;;;;;;;;;;
2020/10/29;11;1;4;4;1;1;;;;;;0;;;;;;;;;;
2020/10/30;10;1;1;5;1;1;;;;;;1;;;;;;;;;;
2020/10/31;6;1;1;3;1;0;;;;;;0;;;;;;;;;;
2020/11/01;7;1;1;2;3;0;;;;;;0;;;;;;;;;;
2020/11/02;17;6;5;5;0;1;;;;;;0;;;;;;;;;;
2020/11/03;4;0;1;2;0;1;;;;;;0;;;;;;;;;;
2020/11/04;4;0;1;2;0;0;;;;;;1;;;;;;;;;;
2020/11/05;9;1;0;4;3;1;;;;;;0;;;;;;;;;;
2020/11/06;12;1;0;8;0;2;;;;;;1;;;;;;;;;;
2020/11/07;6;2;1;2;1;0;;;;;;0;;;;;;;;;;
2020/11/08;14;5;3;4;2;0;;;;;;0;;;;;;;;;;
2020/11/09;9;2;3;3;1;0;;;;;;0;;;;;;;;;;
2020/11/10;13;1;5;3;4;0;;;;;;0;;;;;;;;;;
2020/11/11;5;0;0;2;1;2;;;;;;0;;;;;;;;;;
2020/11/12;13;3;3;4;1;1;;;;;;1;;;;;;;;;;
2020/11/13;12;3;3;4;1;0;;;;;;1;;;;;;;;;;
2020/11/14;8;1;2;4;0;1;;;;;;0;;;;;;;;;;
2020/11/15;13;5;3;3;1;0;;;;;;1;;;;;;;;;;
2020/11/16;9;2;1;4;1;0;;;;;1;0;;;;;;;;;;
2020/11/17;7;0;1;2;1;1;1;;;;;1;;;;;;;;;;
